predicate,acc,bal_acc,acc_auc,full_acc,f1,f2,f05,pauc,mR@10,mNgR@10,mR@20,mNgR@20,mR@50,mNgR@50,mR@-1,mNgR@-1,R@10,NgR@10,R@20,NgR@20,R@50,NgR@50,R@-1,NgR@-1
running on,0.8995238095238095,0.8994631988810342,0.8757633053221289,0.9413157894736842,0.138996138996139,0.27950310559006214,0.09249743062692703,0.9702081679456646,0.4379084967320262,0.5490196078431373,0.4379084967320262,0.5947712418300654,0.4379084967320262,0.633986928104575,0.4183006535947713,0.37254901960784315,,,,,,,,
crossing,0.7105263157894739,0.7126368552961351,0.7008359133126933,0.9503947368421053,0.04556962025316456,0.0995575221238938,0.029546946815495728,0.8172022854921237,0.07142857142857142,0.1,0.11428571428571428,0.22857142857142856,0.14285714285714285,0.5142857142857142,0.04285714285714286,0.02857142857142857,,,,,,,,
standing on,0.8476969696969698,0.8474031928639907,0.7998003565062389,0.8685526315789474,0.35255994815294883,0.5369127516778522,0.2624469316866075,0.9247449043391271,0.2270791749833666,0.33544023064981154,0.24644045242847637,0.4679751607895321,0.2544244843646041,0.57507207806609,0.20239520958083834,0.18740297183410956,,,,,,,,
lying on,0.9267142857142858,0.9283164951373808,0.9030168067226891,0.9705263157894737,0.2167832167832168,0.39641943734015345,0.14918190567853706,0.9852100840336134,0.22769953051643188,0.3333333333333333,0.2417840375586854,0.41784037558685444,0.25586854460093894,0.46713615023474175,0.1948356807511737,0.2136150234741784,,,,,,,,
sitting on,0.8670220588235295,0.8684115125149738,0.8298529411764706,0.9613157894736842,0.4166666666666666,0.5756578947368421,0.3264925373134328,0.9637909022129753,0.2057971014492754,0.29999999999999993,0.22518115942028988,0.37101449275362325,0.2338768115942029,0.4483695652173914,0.1949275362318841,0.24492753623188407,,,,,,,,
flying over,0.9416666666666668,0.9406241309152652,0.9297058823529413,0.9922368421052632,0.21333333333333335,0.39215686274509803,0.14652014652014653,0.9948916114111741,0.2391025641025641,0.24551282051282053,0.3557692307692308,0.36217948717948717,0.3621794871794872,0.41346153846153844,0.11346153846153847,0.15192307692307694,,,,,,,,
jumping over,0.738125,0.7410432033719705,0.6897794117647059,0.9815789473684211,0.05405405405405405,0.11627906976744184,0.035211267605633804,0.9633331138040042,0.0,0.125,0.0625,0.5,0.0625,0.5,0.0,0.0625,,,,,,,,
jumping from,0.7836666666666665,0.7804878048780488,0.7930196078431373,0.9602631578947368,0.05625,0.12328767123287672,0.03643724696356275,0.9334651724895627,0.2222222222222222,0.37037037037037035,0.25925925925925924,0.4444444444444444,0.25925925925925924,0.5185185185185185,0.18518518518518517,0.25925925925925924,,,,,,,,
wearing,0.9075641025641028,0.9063345809556924,0.8987104072398191,0.9903947368421052,0.63681592039801,0.7356321839080461,0.5614035087719299,0.9825179473544271,0.33434959349593496,0.3704268292682927,0.36636178861788615,0.41666666666666663,0.383130081300813,0.4532520325203252,0.2936991869918699,0.3384146341463415,,,,,,,,
holding,0.9479499999999998,0.9478378378378378,0.9305485294117647,0.9505263157894737,0.5013262599469496,0.6979320531757754,0.3911423841059603,0.9865837837837839,0.21103896103896108,0.4261904761904761,0.25844155844155847,0.5186147186147185,0.29004329004329,0.5911255411255412,0.18333333333333335,0.3573593073593074,,,,,,,,
carrying,0.9483333333333333,0.9487424236696531,0.9440826330532213,0.9922368421052632,0.562962962962963,0.7279693486590038,0.45893719806763283,0.9925748812359027,0.2592592592592593,0.2791005291005291,0.31878306878306883,0.34523809523809523,0.3373015873015873,0.39285714285714285,0.22751322751322753,0.2433862433862434,,,,,,,,
